                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.99563,                 1.0036,                 1.1602,                0.86917,                 0.9537,                0.93496,                0.70765,                 1.0039,                 1.2913,                 1.1957,              0.0011389,              0.0011389,              0.0011389
                     35,                0.96982,                0.81335,                 1.1591,                0.84167,                0.87183,                0.87898,                0.64545,                 1.0396,                 1.6039,                  1.218,              0.0011224,              0.0011224,              0.0011224
                     36,                0.93833,                0.86049,                 1.1652,                0.76233,                0.87942,                0.85097,                0.62894,                 1.0771,                 2.1811,                 1.1983,              0.0011059,              0.0011059,              0.0011059
                     37,                0.95386,                0.74429,                 1.1351,                0.79724,                0.85048,                0.92625,                0.68867,                0.99984,                 1.9863,                 1.1371,              0.0010894,              0.0010894,              0.0010894
                     38,                0.94222,                0.79613,                 1.1407,                0.87637,                0.94616,                0.96442,                0.75151,                0.94529,                 1.1034,                 1.1275,              0.0010729,              0.0010729,              0.0010729
                     39,                0.82783,                0.72825,                 1.1184,                0.95856,                0.97447,                0.98761,                0.74986,                0.95204,                0.84942,                 1.1584,              0.0010564,              0.0010564,              0.0010564
                     40,                 0.9339,                0.83591,                 1.1191,                0.89999,                0.97222,                0.97918,                0.75203,                0.96295,                0.69166,                 1.1838,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.0463,                0.98523,                 1.2854,                0.89651,                0.92686,                0.97423,                0.73638,                0.93619,                0.69688,                 1.1665,              0.0010234,              0.0010234,              0.0010234
                     42,                0.90958,                0.81397,                  1.138,                0.87633,                0.95346,                0.97791,                0.76134,                0.88556,                0.65971,                 1.0936,              0.0010069,              0.0010069,              0.0010069
                     43,                0.92392,                0.81081,                 1.0817,                0.99313,                0.96636,                0.99446,                0.80344,                0.79391,                0.61624,                 1.0428,             0.00099036,             0.00099036,             0.00099036
                     44,                0.86071,                0.65493,                 1.0718,                0.96327,                      1,                  0.995,                0.79296,                0.80498,                0.77321,                 1.0477,             0.00097386,             0.00097386,             0.00097386
                     45,                0.97197,                 0.7756,                  1.109,                0.98509,                0.99074,                0.99179,                0.80387,                0.71643,                0.76402,                0.98662,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.0565,                 1.4174,                 1.2926,                0.98235,                0.99074,                0.99146,                 0.8101,                0.70066,                0.69856,                0.98249,             0.00094085,             0.00094085,             0.00094085
                     47,                0.93321,                0.74826,                 1.0794,                0.99595,                0.98988,                  0.995,                0.80718,                0.68702,                0.66641,                0.97623,             0.00092435,             0.00092435,             0.00092435
                     48,                0.83885,                 0.6752,                 1.0455,                0.99628,                 0.9353,                0.96793,                0.75244,                0.72308,                0.60341,                 1.0022,             0.00090785,             0.00090785,             0.00090785
                     49,                0.85692,                0.69121,                 1.0792,                0.99297,                0.97964,                0.99458,                0.78034,                0.76474,                0.69431,                 1.0065,             0.00089134,             0.00089134,             0.00089134
                     50,                0.95242,                0.65321,                 1.1047,                0.99654,                0.95531,                0.99203,                0.80435,                0.71613,                0.73204,                0.98056,             0.00087484,             0.00087484,             0.00087484
                     51,                0.89073,                0.66275,                  1.096,                0.98052,                0.95649,                0.98834,                0.81768,                0.72106,                0.71295,                0.99787,             0.00085834,             0.00085834,             0.00085834
                     52,                 0.9084,                0.70194,                 1.1248,                0.93349,                0.89815,                0.94586,                0.75547,                0.82179,                0.85661,                 1.0621,             0.00084184,             0.00084184,             0.00084184
                     53,                0.84343,                0.72122,                 1.1087,                0.98406,                0.89815,                0.96282,                0.72235,                0.78558,                0.77164,                 1.0336,             0.00082533,             0.00082533,             0.00082533
                     54,                  0.887,                0.68151,                 1.0496,                 0.9312,                0.90068,                0.93001,                0.70938,                0.72642,                0.66562,                0.99433,             0.00080883,             0.00080883,             0.00080883
                     55,                0.83044,                 0.6878,                 1.0485,                0.98184,                0.90476,                0.95495,                0.72602,                0.69345,                0.66095,                0.97963,             0.00079233,             0.00079233,             0.00079233
                     56,                0.83646,                0.67861,                 1.0679,                0.97637,                0.97964,                 0.9922,                0.79319,                0.65418,                0.65558,                0.95128,             0.00077582,             0.00077582,             0.00077582
                     57,                0.81336,                0.60627,                 1.0513,                0.93104,                0.98196,                0.96262,                0.79826,                0.61881,                 0.6448,                0.93409,             0.00075932,             0.00075932,             0.00075932
                     58,                0.79122,                 0.6339,                 1.0918,                0.98253,                0.98942,                0.99321,                0.85307,                0.60641,                0.69024,                0.92382,             0.00074282,             0.00074282,             0.00074282
                     59,                0.82129,                0.71566,                 1.0782,                0.98843,                0.99074,                 0.9937,                0.84103,                0.63436,                 0.7159,                0.93529,             0.00072631,             0.00072631,             0.00072631
                     60,                0.76755,                0.61139,                 1.0221,                0.88638,                 0.9992,                0.96868,                0.79836,                0.69992,                  0.809,                0.97266,             0.00070981,             0.00070981,             0.00070981
                     61,                0.73725,                0.62546,                 1.0488,                0.83483,                      1,                0.90757,                0.68272,                0.69653,                0.89634,                0.97733,             0.00069331,             0.00069331,             0.00069331
                     62,                0.79967,                 0.5995,                 1.0638,                0.85758,                      1,                0.91852,                0.75668,                 0.6693,                0.93136,                0.96216,              0.0006768,              0.0006768,              0.0006768
                     63,                0.75222,                0.60302,                0.99882,                0.94504,                 0.9487,                0.98595,                0.84024,                0.65911,                0.90882,                0.95516,              0.0006603,              0.0006603,              0.0006603
                     64,                0.83532,                 0.6336,                 1.0534,                0.96388,                0.99628,                0.99203,                0.86642,                 0.6431,                 0.8183,                 0.9481,              0.0006438,              0.0006438,              0.0006438
                     65,                0.79824,                0.60898,                 1.0057,                0.98907,                0.99751,                  0.995,                0.86879,                0.63224,                0.66542,                0.94517,             0.00062729,             0.00062729,             0.00062729
                     66,                0.78602,                0.63135,                 1.0626,                0.98784,                      1,                  0.995,                0.86195,                0.61578,                0.54726,                0.93774,             0.00061079,             0.00061079,             0.00061079
                     67,                0.70538,                0.54767,                0.98572,                0.99215,                      1,                  0.995,                 0.8566,                0.63807,                0.52564,                0.94994,             0.00059429,             0.00059429,             0.00059429
                     68,                0.83266,                0.59028,                 1.1166,                0.99416,                      1,                  0.995,                0.83743,                0.66784,                0.53235,                0.95659,             0.00057778,             0.00057778,             0.00057778
                     69,                0.81271,                0.60212,                 1.1106,                0.99374,                      1,                  0.995,                0.84823,                0.63106,                0.53046,                0.93971,             0.00056128,             0.00056128,             0.00056128
                     70,                0.73197,                0.61384,                 1.0162,                0.99457,                      1,                  0.995,                0.85883,                 0.5895,                 0.5486,                0.91714,             0.00054478,             0.00054478,             0.00054478
